Name,Job,Rating,Distance,Price
Arun,Carpenter,4.5,38,500
Priya S,Electrician,4.9,2.1,400
Ravi M,Carpenter,4.7,3.4,450
Meena Krishnan,Home Nurse,4.9,1.8,600
Imran Ahmed,Mobile Repair,4.6,2.7,300
Kavya R,Computer Repair,4.8,4.1,500
Suresh Babu,AC Technician,4.7,3.2,450
Anjali Menon,Tailor,4.8,2.4,250
Mohammed Faiz,Motorcycle Repair,4.6,5.3,400
Lakshmi Devi,Home Cleaning,4.9,1.5,300
Vignesh P,Painter,4.7,3.8,350
Fathima Rahman,Cook,4.8,2.9,400
Karthik R,TV Repair,4.5,4.6,350
Divya Nair,Babysitter,4.9,1.9,450
Selvam G,Gardener,4.6,3.1,300
Ayesha Khan,Makeup Artist,4.8,5.2,700
Manoj T,Refrigerator Repair,4.7,2.6,400
Deepa S,Home Nurse,4.9,3.5,650
Santhosh Kumar,Delivery Helper,4.5,1.7,250
Nithya R,Tuition Teacher,4.8,2.8,400
Joseph Antony,Plumber,4.6,4.4,350
Harish V,WiFi Router Setup,4.7,3.6,300
Pooja Sharma,Pet Care,4.9,2.2,350
Bala Murugan,Welding,4.5,5.7,500
Shreya Iyer,Graphic Designer,4.8,4.9,600
Rahul Das,Computer Repair,4.7,2.5,450
Maria Joseph,Home Cleaning,4.9,1.4,300
Gokul S,Car Washing,4.6,2.0,200
Neha Kapoor,Physiotherapy Assistant,4.8,4.3,700
Dinesh Raj,Appliance Repair,4.7,3.7,400
